date;start;end;price_PLN_kWh
2025-11-11;00:00;00:15;0,533
2025-11-11;00:15;00:30;0,533
2025-11-11;00:30;00:45;0,533
2025-11-11;00:45;01:00;0,544
2025-11-11;01:00;01:15;0,540
2025-11-11;01:15;01:30;0,546
2025-11-11;01:30;01:45;0,553
2025-11-11;01:45;02:00;0,547
2025-11-11;02:00;02:15;0,533
2025-11-11;02:15;02:30;0,533
2025-11-11;02:30;02:45;0,533
2025-11-11;02:45;03:00;0,533
2025-11-11;03:00;03:15;0,531
2025-11-11;03:15;03:30;0,531
2025-11-11;03:30;03:45;0,531
2025-11-11;03:45;04:00;0,531
2025-11-11;04:00;04:15;0,530
2025-11-11;04:15;04:30;0,530
2025-11-11;04:30;04:45;0,530
2025-11-11;04:45;05:00;0,530
2025-11-11;05:00;05:15;0,534
2025-11-11;05:15;05:30;0,534
2025-11-11;05:30;05:45;0,541
2025-11-11;05:45;06:00;0,538
2025-11-11;06:00;06:15;0,544
2025-11-11;06:15;06:30;0,544
2025-11-11;06:30;06:45;0,560
2025-11-11;06:45;07:00;0,560
2025-11-11;07:00;07:15;0,571
2025-11-11;07:15;07:30;0,587
2025-11-11;07:30;07:45;0,590
2025-11-11;07:45;08:00;0,598
2025-11-11;08:00;08:15;0,608
2025-11-11;08:15;08:30;0,605
2025-11-11;08:30;08:45;0,604
2025-11-11;08:45;09:00;0,592
2025-11-11;09:00;09:15;0,604
2025-11-11;09:15;09:30;0,578
2025-11-11;09:30;09:45;0,572
2025-11-11;09:45;10:00;0,546
2025-11-11;10:00;10:15;0,574
2025-11-11;10:15;10:30;0,560
2025-11-11;10:30;10:45;0,561
2025-11-11;10:45;11:00;0,571
2025-11-11;11:00;11:15;0,571
2025-11-11;11:15;11:30;0,572
2025-11-11;11:30;11:45;0,582
2025-11-11;11:45;12:00;0,587
2025-11-11;12:00;12:15;0,584
2025-11-11;12:15;12:30;0,584
2025-11-11;12:30;12:45;0,583
2025-11-11;12:45;13:00;0,583
2025-11-11;13:00;13:15;0,601
2025-11-11;13:15;13:30;0,589
2025-11-11;13:30;13:45;0,589
2025-11-11;13:45;14:00;0,581
2025-11-11;14:00;14:15;0,584
2025-11-11;14:15;14:30;0,582
2025-11-11;14:30;14:45;0,605
2025-11-11;14:45;15:00;0,638
2025-11-11;15:00;15:15;0,611
2025-11-11;15:15;15:30;0,652
2025-11-11;15:30;15:45;0,689
2025-11-11;15:45;16:00;0,708
2025-11-11;16:00;16:15;0,706
2025-11-11;16:15;16:30;0,731
2025-11-11;16:30;16:45;0,744
2025-11-11;16:45;17:00;0,756
2025-11-11;17:00;17:15;0,734
2025-11-11;17:15;17:30;0,737
2025-11-11;17:30;17:45;0,726
2025-11-11;17:45;18:00;0,708
2025-11-11;18:00;18:15;0,695
2025-11-11;18:15;18:30;0,670
2025-11-11;18:30;18:45;0,658
2025-11-11;18:45;19:00;0,653
2025-11-11;19:00;19:15;0,638
2025-11-11;19:15;19:30;0,638
2025-11-11;19:30;19:45;0,630
2025-11-11;19:45;20:00;0,629
2025-11-11;20:00;20:15;0,626
2025-11-11;20:15;20:30;0,621
2025-11-11;20:30;20:45;0,605
2025-11-11;20:45;21:00;0,582
2025-11-11;21:00;21:15;0,590
2025-11-11;21:15;21:30;0,582
2025-11-11;21:30;21:45;0,562
2025-11-11;21:45;22:00;0,540
2025-11-11;22:00;22:15;0,592
2025-11-11;22:15;22:30;0,547
2025-11-11;22:30;22:45;0,523
2025-11-11;22:45;23:00;0,504
2025-11-11;23:00;23:15;0,523
2025-11-11;23:15;23:30;0,509
2025-11-11;23:30;23:45;0,519
2025-11-11;23:45;00:00;0,520
2025-11-12;00:00;00:15;0,502
2025-11-12;00:15;00:30;0,483
2025-11-12;00:30;00:45;0,478
2025-11-12;00:45;01:00;0,498
2025-11-12;01:00;01:15;0,506
2025-11-12;01:15;01:30;0,506
2025-11-12;01:30;01:45;0,499
2025-11-12;01:45;02:00;0,510
2025-11-12;02:00;02:15;0,515
2025-11-12;02:15;02:30;0,514
2025-11-12;02:30;02:45;0,513
2025-11-12;02:45;03:00;0,513
2025-11-12;03:00;03:15;0,518
2025-11-12;03:15;03:30;0,518
2025-11-12;03:30;03:45;0,519
2025-11-12;03:45;04:00;0,517
2025-11-12;04:00;04:15;0,504
2025-11-12;04:15;04:30;0,493
2025-11-12;04:30;04:45;0,497
2025-11-12;04:45;05:00;0,509
2025-11-12;05:00;05:15;0,531
2025-11-12;05:15;05:30;0,557
2025-11-12;05:30;05:45;0,569
2025-11-12;05:45;06:00;0,630
2025-11-12;06:00;06:15;0,705
2025-11-12;06:15;06:30;0,814
2025-11-12;06:30;06:45;0,929
2025-11-12;06:45;07:00;0,977
2025-11-12;07:00;07:15;0,886
2025-11-12;07:15;07:30;1,03
2025-11-12;07:30;07:45;0,991
2025-11-12;07:45;08:00;0,897
2025-11-12;08:00;08:15;0,914
2025-11-12;08:15;08:30;0,847
2025-11-12;08:30;08:45;0,818
2025-11-12;08:45;09:00;0,782
2025-11-12;09:00;09:15;0,651
2025-11-12;09:15;09:30;0,638
2025-11-12;09:30;09:45;0,599
2025-11-12;09:45;10:00;0,578
2025-11-12;10:00;10:15;0,540
2025-11-12;10:15;10:30;0,530
2025-11-12;10:30;10:45;0,526
2025-11-12;10:45;11:00;0,515
2025-11-12;11:00;11:15;0,524
2025-11-12;11:15;11:30;0,518
2025-11-12;11:30;11:45;0,518
2025-11-12;11:45;12:00;0,513
2025-11-12;12:00;12:15;0,520
2025-11-12;12:15;12:30;0,526
2025-11-12;12:30;12:45;0,528
2025-11-12;12:45;13:00;0,526
2025-11-12;13:00;13:15;0,535
2025-11-12;13:15;13:30;0,536
2025-11-12;13:30;13:45;0,536
2025-11-12;13:45;14:00;0,546
2025-11-12;14:00;14:15;0,582
2025-11-12;14:15;14:30;0,609
2025-11-12;14:30;14:45;0,624
2025-11-12;14:45;15:00;0,648
2025-11-12;15:00;15:15;0,689
2025-11-12;15:15;15:30;0,727
2025-11-12;15:30;15:45;0,862
2025-11-12;15:45;16:00;0,895
2025-11-12;16:00;16:15;0,755
2025-11-12;16:15;16:30;0,804
2025-11-12;16:30;16:45;0,852
2025-11-12;16:45;17:00;0,926
2025-11-12;17:00;17:15;0,673
2025-11-12;17:15;17:30;0,662
2025-11-12;17:30;17:45;0,637
2025-11-12;17:45;18:00;0,627
2025-11-12;18:00;18:15;0,614
2025-11-12;18:15;18:30;0,571
2025-11-12;18:30;18:45;0,571
2025-11-12;18:45;19:00;0,568
2025-11-12;19:00;19:15;0,584
2025-11-12;19:15;19:30;0,568
2025-11-12;19:30;19:45;0,555
2025-11-12;19:45;20:00;0,551
2025-11-12;20:00;20:15;0,553
2025-11-12;20:15;20:30;0,538
2025-11-12;20:30;20:45;0,533
2025-11-12;20:45;21:00;0,525
2025-11-12;21:00;21:15;0,492
2025-11-12;21:15;21:30;0,462
2025-11-12;21:30;21:45;0,480
2025-11-12;21:45;22:00;0,474
2025-11-12;22:00;22:15;0,502
2025-11-12;22:15;22:30;0,497
2025-11-12;22:30;22:45;0,492
2025-11-12;22:45;23:00;0,434
2025-11-12;23:00;23:15;0,412
2025-11-12;23:15;23:30;0,380
2025-11-12;23:30;23:45;0,351
2025-11-12;23:45;00:00;0,319
